width,space,ctt,cself,ctsv
4e-06,9e-06,-2.5281418676087805e-16,3.1526340645377024e-15,2.899819877776824e-15
4e-06,9.5e-06,-2.382815551819307e-16,3.148217022710617e-15,2.9099354675286863e-15
4e-06,9.999999999999999e-06,-2.252021867608781e-16,3.1442459837028016e-15,2.9190437969419234e-15
4.5e-06,5e-07,-5.5681241867608774e-15,4.384087346002999e-15,-1.1840368407578784e-15
4.5e-06,1e-06,-2.7724091867608777e-15,3.722110690097746e-15,9.497015033368684e-16
4.5e-06,1.5e-06,-1.840504186760878e-15,3.4933060803107764e-15,1.6528018935498985e-15
4.5e-06,2e-06,-1.374551686760878e-15,3.3758494371060858e-15,2.001297750345208e-15
4.5e-06,2.4999999999999998e-06,-1.0949801867608782e-15,3.3039488755207237e-15,2.2089686887598455e-15
4.5e-06,2.9999999999999997e-06,-9.085991867608781e-16,3.255286249844641e-15,2.346687063083763e-15
4.5e-06,3.5e-06,-7.754699010465922e-16,3.220133443129142e-15,2.44466354208255e-15
4.5e-06,4e-06,-6.75622936760878e-16,3.1935473593323275e-15,2.5179244225714496e-15
4.5e-06,4.5e-06,-5.97964186760878e-16,3.1727409832718126e-15,2.5747767965109347e-15
4.5e-06,5e-06,-5.35837186760878e-16,3.156020055884114e-15,2.6201828691232357e-15
4.5e-06,5.5e-06,-4.850060049426963e-16,3.1422940741965153e-15,2.657288069253819e-15
4.5e-06,6e-06,-4.4264668676087807e-16,3.1308289039925763e-15,2.6881822172316984e-15
4.5e-06,6.5000000000000004e-06,-4.06804186760878e-16,3.1211120495621226e-15,2.7143078628012444e-15
4.5e-06,7e-06,-3.7608204390373515e-16,3.1127748396680633e-15,2.7366927957643283e-15
4.5e-06,7.5e-06,-3.49456186760878e-16,3.1055452793422133e-15,2.7560890925813355e-15
4.5e-06,8e-06,-3.261585617608781e-16,3.0992183194301634e-15,2.7730597576692854e-15
4.5e-06,8.5e-06,-3.0560183381970157e-16,3.093636465231632e-15,2.78803463141193e-15
4.5e-06,9e-06,-2.8732918676087803e-16,3.0886767565282903e-15,2.8013475697674123e-15
4.5e-06,9.5e-06,-2.7097997623456226e-16,3.084241802490064e-15,2.813261826255502e-15
4.5e-06,9.999999999999999e-06,-2.562656867608781e-16,3.08025347058475e-15,2.823987783823872e-15
5e-06,5e-07,-6.189394186760878e-15,4.3285563351743794e-15,-1.8608378515864987e-15
5e-06,1e-06,-3.083044186760878e-15,3.666568822128312e-15,5.835246353674341e-16
5e-06,1.5e-06,-2.0475941867608782e-15,3.437748277541358e-15,1.3901540907804796e-15
5e-06,2e-06,-1.5298691867608783e-15,3.3202726904374424e-15,1.790403503676564e-15
5e-06,2.4999999999999998e-06,-1.2192341867608783e-15,3.2483517941597074e-15,2.029117607398829e-15
5e-06,2.9999999999999997e-06,-1.0121441867608783e-15,3.199668478405102e-15,2.1875242916442237e-15
5e-06,3.5e-06,-8.642227581894495e-16,3.1644952036983796e-15,2.3002724455089302e-15
5e-06,4e-06,-7.532816867608781e-16,3.1378891610903868e-15,2.384607474329509e-15
5e-06,4.5e-06,-6.66994186760878e-16,3.1170634587620646e-15,2.4500692720011864e-15
5e-06,5e-06,-5.9796418676087805e-16,3.1003238754017408e-15,2.502359688640863e-15
5e-06,5.5e-06,-5.414850958517872e-16,3.086579903795541e-15,2.5450948079437536e-15
5e-06,6e-06,-4.944191867608782e-16,3.0750973865160987e-15,2.5806781997552207e-15
5e-06,6.5000000000000004e-06,-4.5459418676087805e-16,3.065363797356662e-15,2.6107696105957837e-15
5e-06,7e-06,-4.204584724751638e-16,3.0570104329974366e-15,2.6365519605222727e-15
5e-06,7.5e-06,-3.9087418676087807e-16,3.04976526742268e-15,2.658891080661802e-15
5e-06,8e-06,-3.649879367608781e-16,3.0434232225376017e-15,2.6784352857767237e-15
5e-06,8.5e-06,-3.421471279373487e-16,3.0378267771224505e-15,2.6956796491851017e-15
5e-06,9e-06,-3.2184418676087806e-16,3.032852946820144e-15,2.711008760059266e-15
5e-06,9.5e-06,-3.0367839728719385e-16,3.028404318852359e-15,2.724725921565165e-15
5e-06,9.999999999999999e-06,-2.8732918676087813e-16,3.0244027406895302e-15,2.7370735539286522e-15
5.5e-06,5e-07,-6.810664186760877e-15,4.2793800937416e-15,-2.531284093019277e-15
5.5e-06,1e-06,-3.3936791867608777e-15,3.617384610081311e-15,2.2370542332043297e-16
5.5e-06,1.5e-06,-2.2546841867608774e-15,3.3885523246136922e-15,1.1338681378528148e-15
5.5e-06,2e-06,-1.685186686760878e-15,3.2710627167196705e-15,1.5858760299587924e-15
5.5e-06,2.4999999999999998e-06,-1.3434881867608782e-15,3.199126698764401e-15,1.8556385120035227e-15
5.5e-06,2.9999999999999997e-06,-1.115689186760878e-15,3.1504279256606747e-15,2.034738738899797e-15
5.5e-06,3.5e-06,-9.529756153323066e-16,3.1152392927533342e-15,2.1622636774210274e-15
5.5e-06,4e-06,-8.30940436760878e-16,3.0886182132194727e-15,2.2576777764585948e-15
5.5e-06,4.5e-06,-7.36024186760878e-16,3.0677778955159725e-15,2.3317537087550945e-15
5.5e-06,5e-06,-6.60091186760878e-16,3.0510241537022706e-15,2.390932966941393e-15
5.5e-06,5.5e-06,-5.9796418676087805e-16,3.0372664833133345e-15,2.4393022965524566e-15
5.5e-06,6e-06,-5.46191686760878e-16,3.025770714361004e-15,2.479579027600126e-15
5.5e-06,6.5000000000000004e-06,-5.02384186760878e-16,3.016024301717533e-15,2.5136401149566548e-15
5.5e-06,7e-06,-4.648349010465923e-16,3.007658521253294e-15,2.5428236202067016e-15
5.5e-06,7.5e-06,-4.3229218676087803e-16,3.000401326385726e-15,2.5681091396248477e-15
5.5e-06,8e-06,-4.0381731176087807e-16,2.9940476196287268e-15,2.590230307867849e-15
5.5e-06,8.5e-06,-3.786924220549957e-16,2.9884398618778504e-15,2.609747439822855e-15
5.5e-06,9e-06,-3.5635918676087804e-16,2.9834550524381e-15,2.6270958656772217e-15
5.5e-06,9.5e-06,-3.363768183398254e-16,2.978995763648736e-15,2.6426189453089106e-15
5.5e-06,9.999999999999999e-06,-3.183926867608781e-16,2.9749838294111834e-15,2.656591142650305e-15
6e-06,5e-07,-7.431934186760877e-15,4.235347969998323e-15,-3.1965862167625543e-15
6e-06,1e-06,-3.704314186760878e-15,3.5733464632436645e-15,-1.3096772351721311e-16
6e-06,1.5e-06,-2.4617741867608778e-15,3.3445052796591668e-15,8.82731092898289e-16
6e-06,2e-06,-1.840504186760878e-15,3.227005007143909e-15,1.3865008203830312e-15
6e-06,2.4999999999999998e-06,-1.4677421867608782e-15,3.155057442799759e-15,1.6873152560388807e-15
6e-06,2.9999999999999997e-06,-1.2192341867608783e-15,3.106346822289677e-15,1.8871126355287986e-15
6e-06,3.5e-06,-1.0417284724751638e-15,3.0711463758119312e-15,2.0294179033367674e-15
6e-06,4e-06,-9.085991867608781e-16,3.0445136911792606e-15,2.1359145044183827e-15
6e-06,4.5e-06,-8.05054186760878e-16,3.02366205853199e-15,2.2186078717711122e-15
6e-06,5e-06,-7.22218186760878e-16,3.0068973233800628e-15,2.2846791366191848e-15
6e-06,5.5e-06,-6.54443277669969e-16,2.993128986989022e-15,2.338685709319053e-15
6e-06,6e-06,-5.9796418676087805e-16,2.98162287269325e-15,2.383658685932372e-15
6e-06,6.5000000000000004e-06,-5.50174186760878e-16,2.9718664232597347e-15,2.4216922364988567e-15
6e-06,7e-06,-5.092113296180209e-16,2.963490900576667e-15,2.454279570958646e-15
6e-06,7.5e-06,-4.737101867608781e-16,2.9562242439396784e-15,2.4825140571788e-15
6e-06,8e-06,-4.4264668676087807e-16,2.9498613423955567e-15,2.5072146556346788e-15
6e-06,8.5e-06,-4.1523771617264276e-16,2.9442446443404017e-15,2.5290069281677587e-15
6e-06,9e-06,-3.9087418676087807e-16,2.9392511376215256e-15,2.5483769508606476e-15
6e-06,9.5e-06,-3.6907523939245704e-16,2.93478338412388e-15,2.5657081447314232e-15
6e-06,9.999999999999999e-06,-3.494561867608781e-16,2.9307632082121167e-15,2.5813070214512385e-15
6.5000000000000004e-06,5e-07,-8.053204186760877e-15,4.195557620607497e-15,-3.85764656615338e-15
6.5000000000000004e-06,1e-06,-4.0149491867608776e-15,3.5335514520655744e-15,-4.813977346953032e-16
6.5000000000000004e-06,1.5e-06,-2.6688641867608773e-15,3.3047033649065622e-15,6.358391781456849e-16
